Beat1,Beat2,Correlation
1731,1622,0.9889600277761693
2234,2513,0.9887900483428337
0422,0225,0.9887674437878518
2024,1221,0.9887636816365638
0734,1212,0.9886720759872141
1822,0322,0.9886457746776831
1111,0422,0.9885984901661322
0430,0731,0.988505555074656
0532,1513,0.9884720120818472
1421,0924,0.988440782169151
1713,2411,0.9883517312837269
1233,0113,0.988336766370453
1034,0134,0.9882714238017202
0531,1114,0.9882546609669663
0213,1512,0.988252896910228
0133,1931,0.9880194438462886
0112,0231,0.9879158850210016
0414,1522,0.9877811150304271
1232,0333,0.9876984666938724
1813,1711,0.9874318248652649
0631,1731,0.9873875272494065
1132,0234,0.9873584817630245
0823,0713,0.9870625051310999
0211,0234,0.9870303266450774
0513,1423,0.9869891054337506
1914,0223,0.9868911475313861
1135,1934,0.9867599327329264
2013,1532,0.9864437369077864
1634,0823,0.986411311150377
2533,1922,0.9863940324958078
2032,0122,0.9861445841605633
0924,1033,0.985970403930351
1234,1224,0.9858457626950762
1652,1013,0.9858294382175133
1923,0314,0.985817969672382
1124,1732,0.9857493700086145
0633,0222,0.9856147037769146
0735,0814,0.9853605493401694
0214,0131,0.985359103772718
1113,2031,0.9852002323058714
0913,1823,0.9851646095721135
0334,1731,0.9850749497080161
0413,0832,0.9850024500110229
1215,0434,0.9849865048738174
0935,2212,0.9849517863313865
1215,0633,0.9849368176892939
1822,1712,0.9847983234969458
1132,2511,0.9847439896782679
1134,1424,0.9846542179257098
1423,1124,0.9846237298715923
1132,1921,0.9846225379859438
1414,1612,0.9845723561582148
1132,0131,0.984384360128376
1122,2525,0.984164157424245
1013,0133,0.9841197990402171
1931,1513,0.9840079244228443
2533,0712,0.9839591090766939
1934,0313,0.9838820474687657
1733,1414,0.9838544806066518
0421,1651,0.9837904272432855
2534,0835,0.9837361273487555
0832,1135,0.9835663018712587
0633,0434,0.9835644841076284
1821,0713,0.9835459812124799
1223,2013,0.9835201589578
0622,1711,0.9835099000754903
1921,2514,0.9834962502144388
0814,1933,0.9834659142490262
2032,0914,0.9833650233966477
1911,2212,0.9833491682009146
1113,0821,0.9833342510096829
0823,1532,0.9833240215609755
0833,2515,0.9833039974376739
0312,2535,0.9832897320865314
0235,1812,0.9832645781389069
0922,0430,0.9832602736172209
0214,1911,0.9832371775758202
1655,0724,0.9832370190268958
2223,1531,0.983201125911977
1531,0431,0.9831667960863647
0114,1432,0.9830320921580613
0712,1621,0.9830218592648621
2022,0613,0.9830027476658666
1531,0131,0.9829524915995839
1125,2533,0.9829020605593854
2234,0334,0.982846169661065
1011,0624,0.9828299611205688
0114,0624,0.9827511637469053
1713,0414,0.9827353013375852
1215,1134,0.9826552707068573
0631,1221,0.9824199328692502
2211,0434,0.9824031468674853
1214,1523,0.9823181888166206
0422,0432,0.9822731750383156
0234,1225,0.9822546062897559
0722,0834,0.9822117070019634
1733,0421,0.9821529748870584
1214,1513,0.9820958708249045
1225,2412,0.9819896235812524
0313,1115,0.9819514370699173
1523,1013,0.9819367675604844
1125,1621,0.9819001902277815
2412,1731,0.981848391694108
1134,0612,0.9818411266929977
0821,0734,0.9818181219813596
0821,0622,0.9816937634884614
0832,2422,0.9814541559219613
1511,0811,0.9813932597023197
0823,1223,0.9813837853842108
0835,2222,0.9813695146539675
2423,0213,0.9813565552041611
1812,1813,0.9812546255031123
1653,1913,0.981222417278468
1132,0214,0.9812087761880057
1723,0813,0.9811334305218928
2525,0213,0.9810918936577612
0833,1914,0.9810560252823595
2223,1912,0.9810449040083957
0524,1732,0.9809797043837322
1112,1133,0.9809350876560492
0712,1212,0.9808427389230802
0224,1713,0.9808156693677348
0331,0531,0.980763883634294
0235,0623,0.9806772825741737
1122,2423,0.9806166919401083
1724,0314,0.9805328585331269
2234,0114,0.9804981262405684
2522,0732,0.9804656928821377
1712,0322,0.980455412884133
0211,1923,0.9804481542066912
1135,0724,0.980379135446123
0524,1124,0.9803393038808121
1135,1654,0.9803123600923437
0214,1655,0.9802871746784196
1823,0815,0.980276587836817
1215,1823,0.9802293245382074
0211,1921,0.9802233949787869
0134,0122,0.9801876280294187
2012,1712,0.9801524932830415
0234,2511,0.9800304437179865
0234,2533,0.9800064255096552
1833,0714,0.9799652762900702
1824,2223,0.9799054026372103
1121,2522,0.9797513258129472
0133,0934,0.9796940286752734
0524,1932,0.9796761004409004
0424,0132,0.9796748993474584
0121,1432,0.9796566054533787
0431,0214,0.9796438383088178
0222,0913,0.9796148424459629
2211,1823,0.9796117621517252
0722,1933,0.9795966246984364
0632,1414,0.9794891821616633
1834,1821,0.979381174249677
1922,0932,0.9793122884655044
0532,1013,0.979241919398379
0723,0914,0.9791707023733964
0433,0411,0.9791538759153419
0431,1132,0.9791398501735892
2532,0222,0.9791252835185713
1724,2535,0.9791089705959088
1533,0733,0.9789770143093249
2233,0732,0.9788092878462379
0634,0611,0.9787985067191426
2522,2515,0.9786496341512119
0814,0834,0.9785856614826806
1611,1114,0.9785597306612627
0621,1013,0.9785398741960424
1934,1221,0.978443315401382
1212,0714,0.9784256522851825
2424,2223,0.9784157221557183
0222,2211,0.9783789518749335
2012,1822,0.9782202831665875
1034,0133,0.9782181185023495
0631,2024,0.9782166204807453
0912,1622,0.9780999749092335
1911,1655,0.9780534105771399
2514,2511,0.9780038409921747
1012,2211,0.9779349624554906
0433,1523,0.9779340410753897
1532,0923,0.9777290132131125
1923,1921,0.9776956946109551
0923,0713,0.9776490392809413
2532,2011,0.9775671678762927
1914,1523,0.9774254151226994
0221,0932,0.9773899845733584
0312,0314,0.9773357972868426
0714,0233,0.9772936807423811
1655,0623,0.9772640326836421
0134,2032,0.977251638391461
0114,0224,0.9771913147716567
2412,1221,0.9771204096843735
1632,1433,0.9770585152971986
1533,0624,0.977046358600954
2221,2022,0.9770438083172629
0312,1724,0.977041854289415
0131,1912,0.9770289435201529
1225,0235,0.9769794507482265
2424,1912,0.9769666955073569
0222,1215,0.9769157828566294
1411,1014,0.9768335336122691
2234,0121,0.9767668413081279
1652,0133,0.9767061573788451
1024,1631,0.9766196830506569
1212,0411,0.9765777946377615
1223,2223,0.9763573922583113
2412,0121,0.9763359816229704
0112,1513,0.9762949022210563
1411,1653,0.9762596313661333
0811,0533,0.976259397434159
0923,1934,0.9761847961331089
2534,1723,0.9761052813560267
2222,1723,0.9759945676152577
0633,2532,0.975915941431385
1651,0925,0.9758381474178925
1224,0735,0.9758019028991907
2432,0522,0.9757976013580483
0933,1135,0.9757575186879685
1125,1012,0.975754035995246
0423,1931,0.9757456548184844
0411,2533,0.9757269926742734
0511,1434,0.9757240857588262
1014,1653,0.9757097490153612
1523,0423,0.975709015564465
1633,2524,0.9756858352526256
0114,1111,0.975627119480423
1832,0714,0.9755887967125771
0715,0835,0.9755713576736575
0724,0214,0.9755492179249765
2023,0822,0.9755239317762987
1121,0732,0.9755185485880784
0823,0524,0.9754927889545808
0231,1813,0.9754062438418329
2234,1622,0.9753975346452993
0334,0923,0.9753854955153509
1731,1132,0.9753301206654064
2534,2222,0.975327722370989
1111,0225,0.9752142296169299
2514,1132,0.9752069594138937
0923,1111,0.9751800399774972
0122,1931,0.9751687965788636
0912,0334,0.9751515208818485
0932,2212,0.9751040446432284
1731,2511,0.9750950825150857
1213,1723,0.9750703101466379
1922,0211,0.9750355083829749
2024,1622,0.9750242217246193
2013,1634,0.9749598169342322
1824,0431,0.9748946625082803
0334,2024,0.9748161150467763
1611,0825,0.9747095229441094
1634,1532,0.9746244211508007
1613,0112,0.9745222671138062
0813,0835,0.9744680652641334
1821,1633,0.9744622932750084
1731,1413,0.9744048716870388
0531,0614,0.9743720555439123
2511,1225,0.9743659787417351
2212,0724,0.9743281781889058
0631,0923,0.9743266783169197
0725,0915,0.9742890627898556
1132,1912,0.9742476939838881
0914,0133,0.9742042070053049
1432,0334,0.9741977884378341
0424,0331,0.9741960909499277
1731,1221,0.974148967821067
0234,1125,0.9741262859497871
1013,2031,0.9740586903900522
1032,0531,0.9739818001338238
0624,1432,0.9739650060543514
0431,2212,0.9739484540299346
0623,1921,0.9738942948064703
1131,2023,0.9738338322512868
1824,0131,0.9737967040269941
1623,1653,0.9737828640981837
0923,1221,0.9737732386408154
2223,1634,0.9736813520903913
1821,1223,0.9736576419944486
0312,1233,0.9735652204224889
1821,2013,0.9735387140385401
1651,1913,0.9734879833553429
0631,1413,0.9734867665601825
1125,1921,0.9734720814224033
1934,1115,0.9732079721548615
1132,1531,0.9731861251919129
1931,0231,0.9731809564994593
2234,2024,0.9731237946173257
0821,2031,0.9731020579240452
0231,0532,0.9730678316153788
1823,0434,0.9730343107758924
0431,1912,0.9729969368483732
1231,1654,0.9729967426627029
1222,1924,0.972973759739155
1652,2233,0.9729530185658448
0211,0712,0.9728900759798428
0911,0424,0.972881382675981
0725,0333,0.9728746109102473
0831,1224,0.972770382096605
0911,1114,0.9726942139289616
2011,0711,0.9724627766209399
0923,1821,0.9724391183634966
1634,2212,0.9724110020553863
1221,1432,0.9722927663309704
1011,0224,0.9722555196187694
0214,2024,0.9722361616881787
0214,1622,0.9722062770251902
0734,0411,0.9721005743929653
0612,1024,0.9720020464260015
1012,0815,0.9718946754695329
0221,1134,0.9718907250552079
1712,2531,0.9718187370799792
1432,1413,0.9717947352930852
0631,1135,0.9717510503312825
1813,0622,0.9717431562553517
1021,1814,0.9716866303603643
1225,2024,0.9716648456169555
0321,1133,0.9716633370613208
0235,1813,0.9716534102627838
2011,1823,0.9716071489248439
2532,1823,0.9714709813582045
0211,1621,0.9714606602928021
0432,0114,0.9714461739209063
0313,0832,0.9714174568258445
2234,0624,0.9714135287174211
1511,1652,0.9713733300748109
0922,0731,0.9713268924702853
0914,1513,0.9713250914478796
0224,2513,0.9712898595347913
1623,1651,0.9712882344695941
0632,0613,0.9712501412459
1924,2514,0.97112699167478
1125,0712,0.9711084280155645
2024,1432,0.9711043883691951
0422,1834,0.9710318346935343
0912,2234,0.9709378886678449
0431,2223,0.9708316560597516
1631,1914,0.970721630034616
0423,1013,0.9706773730158036
1921,1225,0.970626443687052
2031,0433,0.9706005127903192
0815,0222,0.9705846268912063
1622,2511,0.970542769377097
0234,1655,0.970536159035869
0813,2222,0.970490717004272
0231,0621,0.970433504887316
1214,1013,0.9702273899375842
1923,2535,0.970178588230923
0332,0434,0.9701654451607244
1931,1214,0.9701438443595414
1911,1115,0.9701281059460991
0922,0114,0.9701252321513797
1115,0832,0.9699337334510826
0131,2223,0.9699219349613895
0414,1821,0.9697322513574963
0724,0431,0.9697302422609003
1613,1711,0.9696827245915276
0221,0921,0.9696261461056032
0221,1922,0.969596508944917
0814,1224,0.9695709624740307
2234,1221,0.9695674566213298
0631,0334,0.9695346421756926
0925,0421,0.9694984082665014
1134,0913,0.9694525886296025
0631,0724,0.9694081428510775
0313,0631,0.969406596627128
1513,0133,0.9691751569610503
1713,2424,0.9690748796815571
0212,1211,0.9689951826785606
0421,1414,0.9689638312986302
1431,0524,0.9687973562177118
1912,2514,0.9686844277632859
0934,0122,0.9686616025640825
2524,2013,0.9686562044295715
1413,2234,0.9686501074311479
1922,0431,0.9686305406829258
1225,1731,0.9686298836279399
1621,2533,0.9686230784903118
0121,2024,0.9685121589226766
0825,1114,0.9685065140192112
1934,0933,0.9684458592464229
1655,1115,0.9684361229208425
1422,2033,0.968346974039283
1012,0913,0.968252021368688
2424,0323,0.9681444406675991
1511,0133,0.9680899722945228
1622,0631,0.9680527491718379
2422,0123,0.9679525563558914
1523,0532,0.9679356164168434
0623,0211,0.9679173493671356
2522,2233,0.9678951363234596
0712,1012,0.9678052499619922
2513,1111,0.9677858003458142
1621,2211,0.9677827002539723
0631,1532,0.9677592767071543
0131,1731,0.9677171290390144
0823,1732,0.9676999250109138
0432,0225,0.9676582168690687
0131,0724,0.9676562912769572
0621,1523,0.9676486293320347
1651,1014,0.9676355635595252
1115,1654,0.9675822396866121
2515,2011,0.9675282959662108
2523,1913,0.9675065925934622
2524,1231,0.9674119287257595
0734,0712,0.9673827636689235
1223,0923,0.9673695193679428
0235,1613,0.9673504110732989
0214,0234,0.967342569491323
0211,1132,0.9672603985083501
0413,0933,0.9672209965776875
0922,0432,0.9671434665784508
1111,1432,0.9670927114267388
0835,1213,0.9670685585570555
0933,0832,0.9670318421080393
0111,1833,0.9669955824716647
0433,1214,0.966992075631173
2232,1624,0.9669682671683564
1634,0524,0.9669662279292659
1124,2223,0.9669659803781439
2511,0623,0.9669542823997971
2431,0722,0.9668538381034586
0631,1115,0.9667587950380298
0113,2531,0.9667580813354765
0114,0430,0.9667123132229166
2432,0632,0.9665685014843405
0322,2514,0.96656641994392
1132,1911,0.9665597543916986
1732,2223,0.9665547472767105
2432,1414,0.96643978547409
2032,1034,0.9664331817518496
2233,2515,0.9664304378569305
1024,0221,0.9663661035543237
0224,0912,0.9663398466229355
1124,0513,0.966317868329005
1424,0221,0.9663047777325766
0121,1413,0.9662757846159222
1132,0623,0.9662381489020098
2234,0224,0.9661287188621038
0621,0112,0.9661212978630264
1233,1724,0.9660684711860202
2412,2511,0.9660028760513951
0414,1223,0.9660024130735764
2033,2212,0.9659646970388439
0925,0311,0.9658807222405063
2522,0833,0.9658780877079682
0133,0621,0.9658116824894782
0912,1011,0.9658029506497885
1012,1215,0.9658001976081034
1811,1523,0.9657796421090621
1113,0433,0.9657756320900408
0422,0923,0.9656968670210213
1622,1132,0.9655949755550751
1523,2031,0.9655797114461221
1111,0922,0.965568138676403
1011,2513,0.9655663241035687
0334,0214,0.9654966862740404
0225,0923,0.965494911828729
1123,1614,0.9654898444732252
1034,0914,0.9654638118323569
0711,1121,0.9654178831788527
1132,1922,0.9653682367412904
2513,0432,0.9653544653047892
2525,1112,0.9652269714366277
0714,0314,0.9651699094350994
1132,1824,0.9651561899947875
0532,0433,0.9650951747025628
0112,0532,0.9650724915473019
0912,0322,0.9650356789570762
2032,1931,0.9649916628359898
1033,1421,0.9647848587482487
0732,1031,0.9647755284480758
1432,1622,0.9647617248457988
2211,2532,0.9647593708379969
1221,0334,0.9647393287360029
1821,1532,0.9647292480661436
1934,1532,0.9646174451301843
0131,2212,0.9645119802197337
2221,0613,0.9644696530153122
1634,0713,0.9644242462374635
1522,1011,0.9644015148772188
1923,0234,0.9643598975706861
2431,1422,0.9642707114203868
0112,2032,0.9642555897612094
0133,0423,0.9642396174629749
2533,0623,0.9642058275795808
1235,1433,0.9641288448788069
0814,0831,0.9640703818695876
1652,2031,0.9640672973823546
0433,0734,0.9640510514722094
1215,1424,0.9640463562614381
0421,1623,0.9640173164935815
1911,0631,0.9640017324226169
1634,1223,0.963995609057183
0235,1655,0.9639877395519741
1621,1215,0.9639531138624176
0422,0922,0.9638815715803034
0715,2222,0.9637646301046675
1652,1523,0.9637064188404348
0413,0112,0.9636726403605023
0623,0214,0.9636250973417074
1634,0431,0.9636087537907935
0322,2511,0.9635733572143753
1821,0422,0.963568405728407
1622,0923,0.9635618547318897
1912,1622,0.9635292486187074
1212,1621,0.9635271276335291
0214,1934,0.9634885606665322
0934,0914,0.9634068824883171
2234,2412,0.9633888533362054
0421,1913,0.9632851137180457
1513,0231,0.9632551413050855
0131,1922,0.9632346865988286
1654,1934,0.9631858788801142
1911,1922,0.9631027915931704
1824,1924,0.9630770141995622
0734,2031,0.9630146798836918
1431,1524,0.9629873130360002
0632,1733,0.9629703918541261
2032,0133,0.9628572684596542
1934,1413,0.9628234615093703
2534,0715,0.9627597422268733
0334,0224,0.9627091241428422
2424,1824,0.962646304211472
2223,0823,0.9626366833127695
0921,2033,0.9626169348794236
1125,1212,0.962604040202019
2232,2534,0.9625668166745186
1655,1225,0.9625044090272491
0313,0724,0.9624655244155574
2424,1531,0.9624226177653927
0133,0532,0.9623965279755771
1421,0132,0.9622709353778348
2525,1512,0.9622396927552457
1655,2533,0.9622340811962273
1653,2012,0.9622325834149504
0134,0914,0.9621878821594924
0921,1922,0.9620841723238955
1432,2412,0.9620816127590875
2511,2024,0.9620468095550558
2514,2523,0.961970347169625
1821,2524,0.9619647626371712
1012,1923,0.9619501177816294
1225,0214,0.9619294992518481
0923,2234,0.9619166886676991
1034,0934,0.9618513474911976
2511,0912,0.9617916530039224
0631,0131,0.9617558203802488
2013,0524,0.9616911134657015
2223,1532,0.961634300980714
0734,0622,0.9615607281615188
1653,2523,0.9615370411639846
0432,1432,0.9614912790686201
1223,1732,0.9614762061056157
1934,0724,0.9614554368466366
1833,0233,0.9613824049691823
1614,1611,0.9613098707990457
2412,1622,0.9612178750548259
2512,0833,0.9612118381590117
0623,2412,0.9612031808627696
1111,1221,0.9611973349751134
1621,0913,0.9611249637310183
1931,0112,0.9611002235047773
0334,1223,0.9610478287032672
1024,1933,0.9609889862307786
0633,2011,0.9609783924261333
2511,0214,0.9609777558163551
1012,1833,0.9609534126957746
1922,0234,0.9609199465315319
1024,0921,0.9608991104964012
1914,2233,0.96089091940413
1431,1722,0.9607890107077022
0815,1621,0.9607674422324892
1124,0323,0.9607429376365714
0914,1931,0.9607227969110925
1531,1922,0.9606946143348856
0531,0424,0.960652678594051
0121,2513,0.9606386342355789
1913,1623,0.960625135404249
0712,0612,0.9605750822900863
1013,1513,0.960505572427158
1832,0821,0.9604616235336332
2221,0212,0.9604301823835732
1113,1212,0.96039648675177
2424,1732,0.9603544160130361
0631,2412,0.960334423112933
0832,0123,0.960288639197523
1934,0225,0.9602845282801304
2423,1512,0.9602397312509898
1115,0933,0.9602371497463377
1132,2533,0.9602280715068376
1655,0631,0.9602131087154071
1652,1931,0.9601999663789138
0921,1911,0.9601885497547921
1722,0215,0.9601228389172038
1131,1235,0.9601095072666329
0433,0621,0.9600011244794363
0131,1532,0.9599909250296198
0131,1622,0.959987973772115
1434,1421,0.9599645084207702
1613,0532,0.9599602710317273
0714,0734,0.9599219302117281
2234,1731,0.9598880597675553
2523,2424,0.9598341110458088
1713,1913,0.9597938250916815
1012,1212,0.959768530392369
1111,2234,0.9597648733891523
0411,1621,0.9597263178286404
0234,1731,0.959704445002009
0414,0334,0.9596955232724327
2412,0214,0.9596756113109413
0122,1513,0.9596565278630496
0114,0414,0.9596203820183937
1432,0923,0.959614596505631
0512,1524,0.9595521275002007
1132,1225,0.9594772511496662
1433,0124,0.9594646533410862
1531,2514,0.9594627491747386
1125,0314,0.9593861150351238
1655,0131,0.9593570567106519
0114,1011,0.9593456324718477
1634,1911,0.959306992356361
1724,1923,0.9592531035514945
0712,0433,0.9592324304327949
1913,1014,0.9592029092936849
1412,1814,0.9591927506085934
1824,2514,0.9591327853368655
1922,1824,0.959124767672411
0825,1624,0.9591135124602724
1722,1524,0.9590684148319241
0912,1432,0.9590326586289677
0933,0112,0.9590284700853436
1621,1923,0.9589861539125696
1655,1132,0.9589640209241922
0121,0624,0.9589341576496032
0723,2032,0.9588152480193314
1731,0623,0.9588149493450331
1811,1024,0.9587636203325798
2424,1223,0.9587590058702035
2013,1732,0.9587374287226875
1134,1621,0.958729735803097
1433,0511,0.9586943635147995
1613,1812,0.958693535822965
1731,1934,0.9585887487730506
2023,1512,0.95854003704698
2533,1921,0.9585166853225044
2412,0334,0.9585141726848802
2411,0114,0.9585018730236383
0313,0413,0.9584889626971479
0223,1024,0.9584664152816859
0431,0932,0.9584640726501341
0614,0332,0.958434627441291
0622,1832,0.9584089114068424
0234,2514,0.9583704507738806
1133,0512,0.9583501621959646
1431,1932,0.9582846318557019
0224,1432,0.9582273833770589
0613,0212,0.9580439040831911
1413,0334,0.9580340062241449
0211,1012,0.9580238672760469
0431,1655,0.9580218332946114
0624,0224,0.9580195417946604
1115,0214,0.95796234941299
1934,0832,0.9579147205214343
0522,2433,0.9579074507595187
2513,0430,0.9578515753980571
0235,0622,0.9578031909344781
0131,1634,0.9577668802060916
0935,0221,0.9575660837865057
0213,1112,0.9575255633913469
1125,1922,0.9574793690882939
0812,1513,0.9574075537872528
0822,1131,0.9573176094033516
1834,0225,0.9572652264006729
2033,0724,0.9572637263943352
1221,1622,0.9571938401922819
0823,1821,0.9571914051806237
1115,2033,0.957154882843723
0715,2232,0.9571098420369001
1532,0334,0.9570891884939429
0624,0430,0.9570227970217321
1013,0433,0.9570063878598644
1012,1724,0.9569563344604239
1731,0431,0.9569541288538373
2211,1134,0.9568836496303433
1134,0815,0.9568472105239321
1221,0313,0.9568439477496911
2525,1133,0.9568428889842737
0334,2511,0.9567934101007507
2032,1513,0.956783420544035
0714,1923,0.9567349649038279
0211,0411,0.9567005573913899
2233,1511,0.956686086223949
0333,1234,0.956672975858801
1424,1033,0.9566244748251987
1235,1632,0.9566211586937121
1655,1731,0.9565962989106183
1532,0431,0.9565659949659991
1523,1931,0.9565514891903018
0413,1135,0.9563622310313378
1531,1911,0.9563602798097317
2431,2213,0.9563567240383027
1912,2523,0.9562976894094856
1212,0211,0.9562660567444224
1612,0632,0.9561732959786736
0523,0825,0.9561694599093871
1731,0923,0.956167072276511
0214,1221,0.9561270520828501
1914,1121,0.9560505811014468
2223,0713,0.9559866825632591
1622,1223,0.9559651918491742
1133,1122,0.9559252735968466
2032,0231,0.9558280326182014
0533,0934,0.9558257623726127
1213,2222,0.9556894215015072
1032,0332,0.9556824062320721
0923,0432,0.9556643334853213
0912,1713,0.9555763445531114
2031,2522,0.9555432018100354
1913,0323,0.955539149466846
2411,1011,0.9552888864087481
1114,0331,0.9552870972625923
0831,1631,0.9552784739493023
0513,1431,0.955153269629492
0123,1654,0.9551526609124059
1652,0934,0.9551428885239116
2535,2531,0.9550841072858489
2431,0123,0.9550838553676354
0323,1423,0.9549370802819043
1711,1225,0.9549356471207853
1924,1922,0.9549301932332933
0122,1013,0.9548169079848982
1613,0621,0.9548087176005836
1032,0434,0.9547645732858554
2033,1024,0.9547577867201564
0711,0833,0.9547524121163801
1934,2024,0.9547281523299274
0111,2532,0.9547192459142962
1531,1924,0.9547003460438667
0912,1822,0.9546779137892487
0234,0131,0.954599321175098
1911,1731,0.9545172955645799
2411,1821,0.9545117139638168
1512,1232,0.9544511874872573
1212,1923,0.9541539035144878
0923,1413,0.9540826881931173
1212,0623,0.9540765831184604
0211,2514,0.9540443715592352
1933,0735,0.9540067675949337
1814,0632,0.9539693554377354
0324,0611,0.9539542818768919
1114,0424,0.9539502821635795
1522,1533,0.9539478496584047
1654,2422,0.9539290684555835
1833,1212,0.9538673552395152
0431,0631,0.9538544174935268
2524,0823,0.9538233883598135
2532,0913,0.9537505632896156
1824,0932,0.9537057745300054
2522,0711,0.9536759875203226
0623,1125,0.953675803486885
0313,1654,0.9536236809030841
2013,1834,0.9535023141272854
0213,1232,0.9534413714717623
2514,1923,0.9534084855692935
0214,1532,0.9533802292399512
0732,1652,0.9533784897653377
1115,2212,0.9533724266345761
1925,1813,0.9533449619768605
2532,0815,0.9533239208075037
1634,0935,0.9532656215651811
0132,0511,0.9532104313999221
0414,0713,0.9532065787712903
0123,0812,0.9531640578481414
1622,1413,0.9531372014598412
1933,1631,0.9531014203959038
0113,1724,0.9530282595356887
0833,1523,0.953023545700907
1413,0214,0.9529772194741178
0223,1523,0.9528964295903638
0612,0411,0.9528014751271614
1932,1732,0.9527921164899978
0812,0423,0.9527399374417705
2533,1212,0.9527155580509682
0223,0833,0.9526645498494574
0732,0833,0.9525805721954079
0123,0413,0.9525235111585683
0133,1214,0.9524892657067922
0614,0424,0.9524701487503934
0224,1622,0.9524401240218737
1424,0612,0.952410475330964
2424,1913,0.9524070641814857
1225,1413,0.9524056286432441
1232,0725,0.9523674376228849
1923,2533,0.9523622189256177
1532,1911,0.9523516943696559
1921,0322,0.9523297986109355
0432,1221,0.9523295049158425
1922,2212,0.9522843678267335
1531,0932,0.9522672714934645
1911,0932,0.95216971048089
1533,2513,0.9521352734349682
0212,0634,0.9520676292185017
0622,1613,0.9520566104739002
1654,0413,0.9520553417935128
0612,2533,0.9519966708910591
1922,0935,0.9519733151352827
